location_id,character_id
1,38
1,45
1,71
1,82
1,83
1,92
1,112
1,114
1,116
1,117
1,120
1,127
1,155
1,169
1,175
1,179
1,186
1,201
1,216
1,239
1,271
1,302
1,303
1,338
1,343
1,356
1,394
2,6
3,1
3,2
3,8
3,14
3,15
3,18
3,21
3,22
3,27
3,42
3,43
3,44
3,48
3,53
3,56
3,61
3,69
3,72
3,73
3,74
3,77
3,78
3,85
3,86
3,95
3,118
3,119
3,123
3,135
3,143
3,152
3,164
3,165
3,187
3,200
3,206
3,209
3,220
3,229
3,231
3,235
3,267
3,278
3,281
3,283
3,284
3,285
3,286
3,287
3,288
3,289
3,291
3,295
3,298
3,299
3,322
3,325
3,328
3,330
3,345
3,359
3,366
3,378
3,385
3,392
3,461
3,462
3,463
3,464
3,465
3,466
3,472
3,473
3,474
3,475
3,476
3,477
3,478
3,479
3,480
3,481
3,482
3,483
3,484
3,485
3,486
3,487
3,488
3,489
3,801
3,802
3,803
3,804
3,805
3,806
3,810
3,811
3,812
3,818
3,819
3,820
4,10
4,81
4,208
4,226
4,340
4,362
4,375
4,382
4,395
5,12
5,17
5,96
5,97
5,98
5,99
5,100
5,101
5,108
5,268
5,300
6,20
6,28
6,29
6,34
6,49
6,51
6,54
6,121
6,126
6,129
6,134
6,136
6,145
6,157
6,173
6,184
6,205
6,207
6,214
6,222
6,223
6,224
6,225
6,250
6,254
6,260
6,264
6,266
6,275
6,277
6,279
6,312
6,314
6,315
6,316
6,317
6,318
6,334
6,351
6,358
6,367
6,370
6,373
6,403
6,406
6,407
6,408
6,409
6,410
6,411
6,412
6,413
6,414
6,415
6,416
6,417
6,418
6,457
6,458
6,459
6,709
6,711
7,23
7,204
7,320
8,25
8,52
8,68
8,110
8,111
8,140
8,156
8,228
8,323
8,342
9,26
9,139
9,202
9,273
10,33
11,35
13,40
13,55
13,131
13,132
13,146
13,148
13,163
13,178
13,310
13,386
13,387
14,89
14,399
14,400
16,105
16,263
16,321
16,383
16,384
16,454
16,455
16,456
16,460
18,63
18,80
18,221
18,246
18,304
18,305
18,306
18,396
20,3
20,4
20,5
20,9
20,11
20,13
20,16
20,31
20,32
20,50
20,58
20,59
20,64
20,66
20,76
20,88
20,103
20,107
20,109
20,113
20,115
20,124
20,128
20,137
20,138
20,141
20,147
20,149
20,151
20,154
20,166
20,167
20,170
20,171
20,172
20,180
20,181
20,182
20,185
20,189
20,190
20,203
20,210
20,217
20,218
20,219
20,227
20,230
20,233
20,234
20,236
20,237
20,240
20,241
20,243
20,244
20,245
20,248
20,251
20,255
20,259
20,262
20,265
20,272
20,276
20,280
20,292
20,293
20,324
20,326
20,327
20,332
20,335
20,341
20,346
20,347
20,352
20,353
20,354
20,357
20,360
20,361
20,363
20,365
20,374
20,377
20,390
20,391
20,401
20,402
20,405
20,423
20,435
20,437
20,438
20,439
20,440
20,452
20,453
20,467
20,468
20,469
20,471
20,492
20,493
20,497
20,509
20,510
20,511
20,512
20,513
20,514
20,516
20,517
20,523
20,524
20,526
20,534
20,535
20,536
20,537
20,538
20,539
20,540
20,541
20,561
20,562
20,564
20,570
20,575
20,584
20,585
20,586
20,588
20,590
20,591
20,592
20,667
20,672
20,680
20,684
20,686
20,687
20,688
20,689
20,690
20,691
20,692
20,693
20,694
20,695
20,696
20,697
20,698
20,699
20,700
20,701
20,702
20,703
20,704
20,705
20,706
20,707
20,708
20,710
20,712
20,713
20,714
20,715
20,716
20,717
20,719
20,720
20,721
20,722
20,723
20,724
20,725
20,726
20,727
20,728
20,729
20,730
20,732
20,733
20,734
20,735
20,737
20,738
20,739
20,740
20,741
20,742
20,753
20,754
20,755
20,756
20,757
20,758
20,759
20,760
20,761
20,762
20,763
20,764
20,765
20,766
20,767
20,768
20,769
20,770
20,771
20,772
20,773
20,774
20,775
20,776
20,777
20,778
20,781
20,786
20,788
20,789
20,790
20,791
20,794
20,800
20,813
20,821
20,826
21,7
21,436
22,24
22,309
23,37
23,91
23,176
23,183
23,195
24,65
24,388
25,67
25,490
25,491
27,79
27,84
28,90
28,188
28,301
28,336
28,355
28,372
29,93
29,104
29,198
30,822
30,823
30,824
30,825
32,106
32,393
32,449
32,450
32,451
34,39
34,177
34,232
34,290
34,339
35,47
35,75
35,102
35,194
35,199
35,256
35,261
35,308
35,311
35,331
35,379
37,142
37,296
37,297
37,319
37,369
38,144
38,158
39,150
40,168
40,211
40,376
41,153
42,159
42,160
43,161
43,162
43,212
43,213
43,253
44,174
44,257
44,441
44,442
44,443
44,444
44,445
44,446
46,87
46,191
46,270
46,337
47,192
47,307
47,419
47,420
47,421
47,422
48,41
48,193
48,238
48,333
49,348
50,197
50,364
54,252
55,258
56,269
57,282
57,447
57,448
63,350
66,371
70,397
70,398
71,424
71,425
72,404
72,427
72,428
73,426
74,429
74,430
74,431
74,432
76,470
77,242
77,498
77,499
77,500
77,501
77,502
78,313
78,571
78,572
78,573
78,574
78,576
78,577
78,578
78,579
78,580
78,581
78,582
78,583
78,587
78,589
79,494
79,495
79,496
80,503
80,504
80,505
80,506
81,507
81,508
82,515
82,518
82,519
82,520
82,521
82,522
83,525
83,527
83,528
83,533
84,543
85,529
85,530
86,531
87,532
87,542
88,544
88,545
88,546
88,547
88,548
88,549
88,550
88,551
88,552
88,553
89,554
89,555
89,556
89,557
89,558
93,559
93,560
94,563
94,565
94,566
94,567
94,568
94,569
96,597
96,598
96,599
96,600
96,601
96,606
96,607
96,611
96,612
96,615
96,616
96,617
96,618
96,619
96,620
96,622
96,623
96,624
96,626
96,627
96,630
96,631
96,632
96,633
96,634
96,637
96,638
97,593
98,594
98,595
98,596
98,605
98,609
98,610
98,639
99,602
99,604
99,613
99,621
99,628
99,629
100,603
100,608
100,614
100,625
100,635
100,636
101,640
101,641
101,642
101,643
101,644
101,645
101,646
101,647
102,648
102,649
102,650
102,651
103,652
103,655
103,656
103,657
103,658
103,661
104,653
104,654
104,659
104,660
105,344
105,670
105,671
106,662
106,663
106,664
106,665
106,666
107,668
108,669
110,673
110,674
110,675
110,676
110,677
110,678
110,679
110,681
110,682
110,683
110,685
112,799
113,718
113,798
115,731
115,736
116,744
116,745
116,746
116,747
116,748
116,749
116,750
117,743
118,751
118,752
120,780
120,782
120,783
120,784
120,785
122,792
122,793
123,795
123,796
124,797
125,787
125,808
125,809
126,94
126,215
126,274
126,294
126,389
126,779
126,807
126,814
126,815
126,816
126,817
